# time f200lp f300x f350lp f475x f600lp f850lp f218w f225w f275w f336w f390w f438w f475w f555w f606w f625w f775w f814w f105w f110w f125w f140w f160w f070w f090w f115w f150w f150w2 f200w f277w f322w2 f356w f444w f0560w f0770w f1000w
-1.95 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.85 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.75 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.65 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.55 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.45 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.35 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.25 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.15 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-1.05 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.95 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.85 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.75 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.65 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.55 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.45 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.35 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.25 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.15 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
-0.05 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
1.85 -11.871 -4.17 -12.372 -10.003 -13.414 -14.591 -2.199 -3.166 -2.098 -5.25 -7.448 -8.047 -9.115 -10.479 -11.518 -11.913 -13.272 -13.745 -15.121 -15.111 -15.151 -15.178 -15.188 -12.555 -14.846 -15.255 -15.179 -15.182 -14.802 -14.395 -14.048 -13.54 -12.263 -11.964 -11.799 -5.737
1.95 -11.845 -4.199 -12.345 -10.081 -13.379 -14.548 -2.1 -3.127 -2.047 -5.781 -6.984 -7.738 -9.275 -10.563 -11.526 -11.893 -13.26 -13.718 -15.092 -15.077 -15.113 -15.157 -15.189 -12.563 -14.822 -15.239 -15.159 -15.192 -14.854 -14.455 -14.109 -13.596 -12.304 -12.153 -11.603 -6.47
2.05 -11.824 -3.787 -12.324 -9.861 -13.372 -14.556 -2.083 -3.122 -2.1 -4.49 -7.007 -7.716 -8.848 -10.354 -11.431 -11.83 -13.237 -13.715 -15.111 -15.104 -15.149 -15.216 -15.254 -12.505 -14.878 -15.264 -15.216 -15.255 -14.909 -14.547 -14.216 -13.742 -12.459 -12.263 -12.073 -5.33
2.15 -11.754 -3.798 -12.255 -9.799 -13.302 -14.489 -2.023 -3.053 -1.958 -5.181 -6.916 -7.679 -8.84 -10.289 -11.36 -11.761 -13.17 -13.644 -15.074 -15.077 -15.128 -15.204 -15.242 -12.441 -14.849 -15.25 -15.191 -15.258 -14.923 -14.58 -14.265 -13.826 -12.545 -12.251 -11.906 -1.882
2.25 -11.759 -3.493 -12.26 -9.74 -13.31 -14.506 -2.026 -3.068 -1.972 -4.861 -6.817 -7.556 -8.735 -10.233 -11.316 -11.718 -13.176 -13.663 -15.084 -15.079 -15.129 -15.205 -15.255 -12.409 -14.88 -15.255 -15.198 -15.275 -14.93 -14.63 -14.31 -13.863 -12.597 -12.253 -12.002 -6.988
2.35 -11.706 -3.759 -12.207 -9.676 -13.258 -14.475 -1.975 -3.033 -2.978 -4.383 -6.663 -7.419 -8.632 -10.176 -11.29 -11.696 -13.093 -13.608 -15.042 -15.051 -15.111 -15.203 -15.264 -12.36 -14.866 -15.229 -15.205 -15.284 -14.968 -14.666 -14.34 -13.878 -12.582 -12.409 -11.876 -6.069
2.45 -11.667 -3.084 -12.168 -9.548 -13.225 -14.424 -1.894 -2.975 -1.874 -3.28 -6.255 -7.144 -8.468 -10.059 -11.196 -11.604 -13.098 -13.581 -15.028 -15.026 -15.08 -15.172 -15.242 -12.336 -14.844 -15.205 -15.173 -15.27 -14.927 -14.665 -14.347 -13.905 -12.697 -12.338 -11.826 -8.049
2.55 -11.626 -2.967 -12.127 -9.45 -13.185 -14.441 -1.887 -2.963 -1.862 -3.583 -6.03 -7.111 -8.46 -9.949 -11.096 -11.492 -13.006 -13.551 -15.022 -15.036 -15.102 -15.204 -15.256 -12.222 -14.87 -15.208 -15.198 -15.295 -14.959 -14.731 -14.411 -13.962 -12.731 -12.336 -11.954 -8.147
2.65 -11.566 -2.769 -12.068 -9.293 -13.13 -14.361 -1.785 -2.895 -1.789 -1.384 -5.937 -6.695 -8.053 -9.81 -11.013 -11.426 -12.995 -13.5 -14.962 -14.975 -15.039 -15.167 -15.255 -12.187 -14.835 -15.156 -15.174 -15.277 -14.921 -14.726 -14.423 -14.013 -12.735 -12.507 -11.884 -7.899
2.75 -11.548 -3.6 -12.049 -9.104 -13.119 -14.356 -1.747 -2.899 -1.791 -4.974 -5.613 -6.331 -7.771 -9.64 -10.92 -11.34 -12.991 -13.499 -14.953 -14.966 -15.037 -15.159 -15.232 -12.134 -14.851 -15.138 -15.156 -15.273 -14.935 -14.727 -14.437 -14.048 -12.818 -12.479 -11.916 -8.42
